spec,site,region,maxl,maxw,maxth,maxstl,maxstw,group
f2-g2-5,41sy27,south,24.92,16.16,3.57,4.44,4.25,Two
f2-g2-10,41sy27,south,34.69,16.4,3.29,6.12,4.14,Two
f2-g2-15,41sy27,south,34.17,20,3.09,8.34,5.68,Two
f2-g2-9,41sy27,south,39.39,16.73,2.95,6.28,4.9,Two
f2-g2-14,41sy27,south,30.36,15.72,2.58,6.11,4.51,Two
f2-g2-2,41sy27,south,29.32,15.47,2.94,5.59,4.18,Two
f2-g2-1,41sy27,south,30.83,16.8,2.96,5.83,5.21,Two
f2-g2-11,41sy27,south,31.1,15.33,2.92,5.6,4.78,Two
f2-g2-3,41sy27,south,23.3,15.31,3.09,3.87,4.31,Two
f2-g2-13,41sy27,south,29.33,18.59,3.13,5.54,4.52,Two
f2-g2-7,41sy27,south,24.78,15.68,3.2,4.6,4.23,Two
f2-g2-8,41sy27,south,28.17,18.24,3.01,5.99,4.72,Two
f2-g2-12,41sy27,south,33.53,15.83,3.18,5.55,4.23,Two
f2-g2-6,41sy27,south,23.74,16.12,2.92,5.53,4.34,Two
f2-g1-20,41sy27,south,37.46,16.78,3.28,7.53,5.54,One
f2-g1-10,41sy27,south,27.32,18.39,3.1,5.37,4.54,One
f2-g1-19,41sy27,south,31.44,19.62,3.13,5.44,5.75,One
f2-g1-17,41sy27,south,32.75,19.34,3.34,6.29,5.31,One
f2-g1-16,41sy27,south,34.97,16.81,3.39,5.9,5.49,One
f2-g1-11,41sy27,south,33.18,17.45,3.36,6.47,5.12,One
f2-g1-13,41sy27,south,31.61,18.57,3.07,5.75,5.04,One
f2-g1-15,41sy27,south,38.5,20.34,3.4,8.85,6.16,One
f2-g1-18,41sy27,south,30.02,17.33,3.21,7.05,5.18,One
f2-g1-3,41sy27,south,29.45,18.84,3.16,5.58,5.32,One
f2-g1-7,41sy27,south,32.44,18.2,3.28,5.8,4.76,One
f2-g1-4,41sy27,south,28.33,17.49,2.98,7.29,4.83,One
f2-g1-12,41sy27,south,32.17,18.47,3.47,5.44,5.2,One
f2-g1-8,41sy27,south,31.03,17.05,3.1,7.41,5.11,One
f2-g1-9,41sy27,south,27.56,21.12,3.47,6.84,5.07,One
f2-g3-1,41sy27,south,27.21,17.41,3.52,7.7,5.35,Three
f2-g3-3,41sy27,south,24.31,16.35,3,7.08,5.1,Three
f2-g3-6,41sy27,south,30.58,18.03,3.56,7.37,4.81,Three
f2-g3-2,41sy27,south,27.63,17.74,2.99,8.23,4.82,Three
